,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
45,ROOFTOP,"103-05 37th Ave, Flushing, NY 11368, USA",ChIJGyhot8BfwokRl7gr137PyIo,"10305 37 AVENUE QUEENS, NY 11368",40.75356,-73.8642349,1,11368,OK,street_address
46,ROOFTOP,"103-05 37th Ave, Flushing, NY 11368, USA",ChIJGyhot8BfwokRl7gr137PyIo,"10305 37 AVENUE QUEENS, NY 11368",40.75356,-73.8642349,1,11368,OK,street_address
47,ROOFTOP,"60 Wall St, New York, NY 10005, USA",ChIJG9CSRBZawokR25ktZYD1jRY,"60 WALL STREET MANHATTAN, NY 10005",40.706197,-74.00848959999999,1,10005,OK,street_address
48,ROOFTOP,"60 Wall St, New York, NY 10005, USA",ChIJG9CSRBZawokR25ktZYD1jRY,"60 WALL STREET MANHATTAN, NY 10005",40.706197,-74.00848959999999,1,10005,OK,street_address
49,ROOFTOP,"60 Wall St, New York, NY 10005, USA",ChIJG9CSRBZawokR25ktZYD1jRY,"60 WALL STREET MANHATTAN, NY 10005",40.706197,-74.00848959999999,1,10005,OK,street_address
50,ROOFTOP,"195 E 56th St, Brooklyn, NY 11203, USA",ChIJHVEt45lcwokRS5DepY5kugk,"195 EAST   56 STREET BROOKLYN, NY 11203",40.6522187,-73.9244528,1,11203,OK,street_address
51,ROOFTOP,"195 E 56th St, Brooklyn, NY 11203, USA",ChIJHVEt45lcwokRS5DepY5kugk,"195 EAST   56 STREET BROOKLYN, NY 11203",40.6522187,-73.9244528,1,11203,OK,street_address
52,ROOFTOP,"56 Court St, Brooklyn, NY 11201, USA",ChIJG2SNK0lawokRpvAdd8cAIa8,"56 COURT STREET BROOKLYN, NY 11201",40.692245,-73.99142499999999,1,11201,OK,street_address
53,ROOFTOP,"56 Court St, Brooklyn, NY 11201, USA",ChIJG2SNK0lawokRpvAdd8cAIa8,"56 COURT STREET BROOKLYN, NY 11201",40.692245,-73.99142499999999,1,11201,OK,street_address
54,ROOFTOP,"56 Court St, Brooklyn, NY 11201, USA",ChIJG2SNK0lawokRpvAdd8cAIa8,"56 COURT STREET BROOKLYN, NY 11201",40.692245,-73.99142499999999,1,11201,OK,street_address
55,ROOFTOP,"625 8th Ave, New York, NY 10018, USA",ChIJCTk6aFNYwokRQw1zNt_HuXE,"625 8 AVENUE MANHATTAN, NY 10018",40.756888,-73.9917742,1,10018,OK,street_address
56,ROOFTOP,"625 8th Ave, New York, NY 10018, USA",ChIJCTk6aFNYwokRQw1zNt_HuXE,"625 8 AVENUE MANHATTAN, NY 10018",40.756888,-73.9917742,1,10018,OK,street_address
57,ROOFTOP,"10-69 Wyckoff Ave, Flushing, NY 11385, USA",ChIJY_zuOSVcwokRqEtSOmn60iA,"1069 WYCKOFF AVENUE QUEENS, NY 11385",40.6948859,-73.9025265,1,11385,OK,premise
58,ROOFTOP,"10-69 Wyckoff Ave, Flushing, NY 11385, USA",ChIJY_zuOSVcwokRqEtSOmn60iA,"1069 WYCKOFF AVENUE QUEENS, NY 11385",40.6948859,-73.9025265,1,11385,OK,premise
59,ROOFTOP,"405 Lexington Ave, New York, NY 10174, USA",ChIJAe73SQJZwokRHTRcoQpAhF8,"405 LEXINGTON AVENUE MANHATTAN, NY 10174",40.7516715,-73.97538250000001,1,10174,OK,street_address
60,ROOFTOP,"405 Lexington Ave, New York, NY 10174, USA",ChIJAe73SQJZwokRHTRcoQpAhF8,"405 LEXINGTON AVENUE MANHATTAN, NY 10174",40.7516715,-73.97538250000001,1,10174,OK,street_address
61,ROOFTOP,"79-05 Metropolitan Ave, Middle Village, NY 11379, USA",ChIJo9HE525ewokRNfUaTSn3e3Q,"7905 METROPOLITAN AVENUE QUEENS, NY 11379",40.7135015,-73.8740217,1,11379,OK,street_address
62,ROOFTOP,"79-05 Metropolitan Ave, Middle Village, NY 11379, USA",ChIJo9HE525ewokRNfUaTSn3e3Q,"7905 METROPOLITAN AVENUE QUEENS, NY 11379",40.7135015,-73.8740217,1,11379,OK,street_address
